Code,Symbol,Name,Market,Sector
238540.KS,238540,나노솔루션,KOSPI,기타 화학제품 제조업
387690.KQ,387690,레메디,KOSDAQ,의료용 기기 제조업
365660.KQ,365660,레몬헬스케어,KOSDAQ,소프트웨어 개발 및 공급업
475040.KQ,475040,스트라드비젼,KOSDAQ,소프트웨어 개발 및 공급업
153890.KQ,153890,져스텍,KOSDAQ,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
477850.KQ,477850,마키나락스,KOSDAQ,소프트웨어 개발 및 공급업
288180.KQ,288180,케이피항공산업,KOSDAQ,"항공기,우주선 및 부품 제조업"
487580.KQ,487580,폴레드,KOSDAQ,가정용 기기 제조업
439960.KQ,439960,코스모로보틱스,KOSDAQ,의료용 기기 제조업
394420.KQ,394420,리센스메디컬,KOSDAQ,의료용 기기 제조업
408470.KQ,408470,한패스,KOSDAQ,기타 금융업
493280.KQ,493280,아이엠바이오로직스,KOSDAQ,자연과학 및 공학 연구개발업
458350.KQ,458350,에스팀,KOSDAQ,기타 사업지원 서비스업
279570.KS,279570,케이뱅크,KOSPI,은행 및 저축기관
493330.KQ,493330,지에프아이,KOSDAQ,일반 목적용 기계 제조업
012210.KQ,012210,삼미금속,KOSDAQ,기타 금속 가공제품 제조업
490470.KQ,490470,세미파이브,KOSDAQ,"건축기술, 엔지니어링 및 관련 기술 서비스업"
491000.KQ,491000,리브스메드,KOSDAQ,의료용 기기 제조업
059180.KS,059180,엔더블유시,KOSPI,통신 및 방송 장비 제조업
476830.KQ,476830,알지노믹스,KOSDAQ,자연과학 및 공학 연구개발업
478340.KQ,478340,나라스페이스테크놀로지,KOSDAQ,"항공기,우주선 및 부품 제조업"
217590.KS,217590,티엠씨,KOSPI,절연선 및 케이블 제조업
464490.KQ,464490,쿼드메디슨,KOSDAQ,기초 의약물질 제조업
466690.KQ,466690,키움히어로제1호스팩,KOSDAQ,금융 지원 서비스업
261520.KQ,261520,이지스,KOSDAQ,소프트웨어 개발 및 공급업
950250.KQ,950250,테라뷰,KOSDAQ,기타 금융업
488900.KQ,488900,비츠로넥스텍,KOSDAQ,"항공기,우주선 및 부품 제조업"
388210.KQ,388210,씨엠티엑스,KOSDAQ,전자부품 제조업
403850.KQ,403850,더핑크퐁컴퍼니,KOSDAQ,"영화, 비디오물, 방송프로그램 제작 및 배급업"
403810.KS,403810,아이엘로보틱스,KOSPI,전자부품 제조업
459550.KQ,459550,알트,KOSDAQ,통신 및 방송 장비 제조업
061090.KQ,061090,세나테크놀로지,KOSDAQ,통신 및 방송 장비 제조업
494120.KQ,494120,큐리오시스,KOSDAQ,사진장비 및 광학기기 제조업
469610.KQ,469610,이노테크,KOSDAQ,특수 목적용 기계 제조업
486990.KQ,486990,노타,KOSDAQ,소프트웨어 개발 및 공급업
014950.KQ,014950,삼익제약,KOSDAQ,의약품 제조업
317450.KS,317450,명인제약,KOSPI,의약품 제조업
488280.KQ,488280,에스투더블유,KOSDAQ,소프트웨어 개발 및 공급업
342870.KQ,342870,오아,KOSDAQ,가전제품 및 정보통신장비 소매업
496320.KS,496320,본시스템즈,KOSPI,특수 목적용 기계 제조업
318060.KQ,318060,그래피,KOSDAQ,합성고무 및 플라스틱 물질 제조업
397810.KQ,397810,애드포러스,KOSDAQ,광고업
125490.KQ,125490,한라캐스트,KOSDAQ,자동차 신품 부품 제조업
484590.KQ,484590,삼양컴텍,KOSDAQ,무기 및 총포탄 제조업
456160.KQ,456160,지투지바이오,KOSDAQ,의약품 제조업
309710.KQ,309710,아이티켐,KOSDAQ,기초 의약물질 제조업
439260.KS,439260,대한조선,KOSPI,선박 및 보트 건조업
439260.KS,439260,대한조선,KOSPI,선박 및 보트 건조업
468530.KQ,468530,프로티나,KOSDAQ,자연과학 및 공학 연구개발업
475230.KQ,475230,엔알비,KOSDAQ,기타 금속 가공제품 제조업
380550.KQ,380550,뉴로핏,KOSDAQ,소프트웨어 개발 및 공급업
484120.KQ,484120,도우인시스,KOSDAQ,전자부품 제조업
331740.KQ,331740,아우토크립트,KOSDAQ,소프트웨어 개발 및 공급업
462310.KQ,462310,뉴키즈온,KOSDAQ,봉제의복 제조업
234030.KQ,234030,싸이닉솔루션,KOSDAQ,반도체 제조업
463020.KQ,463020,뉴엔AI,KOSDAQ,소프트웨어 개발 및 공급업
388610.KQ,388610,지에프씨생명과학,KOSDAQ,기타 화학제품 제조업
455180.KQ,455180,케이지에이,KOSDAQ,특수 목적용 기계 제조업
340450.KQ,340450,지씨지놈,KOSDAQ,"그외 기타 전문, 과학 및 기술 서비스업"
474650.KQ,474650,링크솔루션,KOSDAQ,특수 목적용 기계 제조업
475430.KQ,475430,키스트론,KOSDAQ,절연선 및 케이블 제조업
496070.KQ,496070,신한제16호스팩,KOSDAQ,금융 지원 서비스업
287840.KQ,287840,인투셀,KOSDAQ,자연과학 및 공학 연구개발업
483650.KS,483650,달바글로벌,KOSPI,기타 화학제품 제조업
489460.KQ,489460,바이오비쥬,KOSDAQ,기타 화학제품 제조업
424870.KQ,424870,이뮨온시아,KOSDAQ,자연과학 및 공학 연구개발업
188040.KQ,188040,바이오포트,KOSDAQ,기타 식품 제조업
125020.KQ,125020,티씨머티리얼즈,KOSDAQ,절연선 및 케이블 제조업
376900.KQ,376900,로킷헬스케어,KOSDAQ,의료용품 및 기타 의약 관련제품 제조업
476040.KQ,476040,오가노이드사이언스,KOSDAQ,자연과학 및 공학 연구개발업
136150.KQ,136150,원일티엔아이,KOSDAQ,일반 목적용 기계 제조업
459510.KQ,459510,나우로보틱스,KOSDAQ,특수 목적용 기계 제조업
364950.KQ,364950,에이아이코리아,KOSDAQ,특수 목적용 기계 제조업
081180.KQ,081180,쎄크,KOSDAQ,일반 목적용 기계 제조업
448900.KQ,448900,한국피아이엠,KOSDAQ,자동차 신품 부품 제조업
481070.KQ,481070,에이유브랜즈,KOSDAQ,"섬유, 의복, 신발 및 가죽제품 소매업"
101970.KQ,101970,우양에이치씨,KOSDAQ,"구조용 금속제품, 탱크 및 증기발생기 제조업"
462860.KQ,462860,더즌,KOSDAQ,전기 통신업
444530.KQ,444530,심플랫폼,KOSDAQ,소프트웨어 개발 및 공급업
484810.KQ,484810,티엑스알로보틱스,KOSDAQ,일반 목적용 기계 제조업
098070.KQ,098070,한텍,KOSDAQ,"구조용 금속제품, 탱크 및 증기발생기 제조업"
